code,name,current_price,drawdown_pct,rsi_14,ma_25,ma_200,signals,signal_count
8035,東京エレクトロン株式会社,54990.0,-32.328328821068176,27.80952380952381,67007.2,45091.9948046875,"大幅下落,売られすぎ,25日線大幅下方乖離",3
3110,日東紡績株式会社,2775.0,-57.82674772036474,32.13264722698685,3356.04,3511.8764727783205,"大幅下落,長期線割れ,25日線大幅下方乖離",3
7735,株式会社ＳＣＲＥＥＮホールディングス,12350.0,-37.53161355589277,25.03464203233257,16545.2,10319.474143066407,"大幅下落,売られすぎ,25日線大幅下方乖離",3
4980,デクセリアルズ株式会社,3300.0,-36.87834736036725,29.75260416666667,3801.52,2981.433489990234,"大幅下落,売られすぎ",2
4519,中外製薬株式会社,6687.0,-36.94486101543928,36.12672457843638,7272.28,8043.585202636718,"大幅下落,長期線割れ",2
7906,ヨネックス株式会社,2517.0,-43.72522127863608,51.07084019769357,2506.28,3104.211748046875,"大幅下落,長期線割れ",2
1942,株式会社関電工,5323.0,-28.646112600536195,26.472303206997083,6188.72,5742.0754113769535,"大幅下落,売られすぎ",2
4107,伊勢化学工業株式会社,3450.0,-58.98452607353408,38.30845771144279,3747.4,4569.231123046875,"大幅下落,長期線割れ",2
6417,株式会社三共,1852.5,-36.95365657859454,77.28494623655914,1700.88,2119.0295361328126,"大幅下落,長期線割れ",2
1980,ダイダン株式会社,2378.0,-34.077806284733256,28.71720116618076,2682.68,2629.957884521484,"大幅下落,売られすぎ",2
1961,三機工業株式会社,2222.0,-32.152671755725194,29.4776119402985,2584.4,2227.3553833007813,"大幅下落,売られすぎ",2
4716,日本オラクル株式会社,8737.0,-43.51223161085134,52.21752903907075,8626.48,9859.97979736328,"大幅下落,長期線割れ",2
5803,株式会社フジクラ,4290.0,-45.92209756712467,38.45410628019324,4851.24,4144.362314453125,大幅下落,1
5706,三井金属株式会社,30890.0,-46.46447140381282,40.8465387823186,34192.8,29600.777890625,大幅下落,1
6146,株式会社ディスコ,60520.0,-33.987783595113434,38.963531669865645,68715.6,63254.53271484375,大幅下落,1
3064,株式会社ＭｏｎｏｔａＲＯ,1961.5,-29.11527746977892,51.08055009823183,1937.08,2002.0845837402344,大幅下落,1
4194,ビジョナル株式会社,8697.0,-30.20064205457464,57.87000783085356,8388.36,8618.765,大幅下落,1
3923,株式会社ラクス,1036.5,-25.00313293876734,52.75938211090422,1016.2560009765624,975.1003121948244,大幅下落,1
6920,レーザーテック株式会社,40910.0,-29.88763606100574,44.5694991558807,43804.8,35553.910361328126,大幅下落,1
6544,ジャパンエレベーターサービスホールディングス株式会社,1641.0,-21.599534069406616,20.71097372488407,1748.28,1714.151103515625,売られすぎ,1
3697,株式会社ＳＨＩＦＴ,874.7999877929688,-49.34568686780725,68.80069757508085,755.9840014648438,804.8479995727539,大幅下落,1
6814,古野電気株式会社,7120.0,-28.17805265249685,45.12635379061372,6811.2,7253.651596679688,大幅下落,1
6368,オルガノ株式会社,14645.0,-27.302060064532142,46.53911086100169,15207.0,14828.128139648436,大幅下落,1
2726,株式会社パルグループホールディングス,1512.0,-47.43434973501524,54.142011834319526,1466.48,1666.8168743896483,大幅下落,1
6590,芝浦メカトロニクス株式会社,4505.0,-28.718354430379744,34.39667128987519,5149.8,4454.955887451172,大幅下落,1
5929,三和ホールディングス株式会社,3530.0,-26.00619701761308,42.99568965517241,3768.4,3801.344465332031,大幅下落,1
7014,株式会社名村造船所,4125.0,-31.36160839188024,58.82352941176471,3975.6,4236.868088378907,大幅下落,1
1969,高砂熱学工業株式会社,4192.0,-25.91888502894844,32.00636942675159,4685.32,4572.27078491211,大幅下落,1
8111,株式会社ゴールドウイン,2281.0,-27.7562881100816,47.588832487309645,2280.1,2418.629246826172,大幅下落,1
