code,name,current_price,drawdown_pct,rsi_14,ma_25,ma_200,signals,signal_count
3110,日東紡績株式会社,2598.0,-60.516717325227965,22.471910112359552,3453.6,3498.68321105957,"大幅下落,売られすぎ,長期線割れ,25日線大幅下方乖離",4
6146,株式会社ディスコ,51870.0,-43.42277486910995,26.037091264031236,70534.8,63181.565625,"大幅下落,売られすぎ,長期線割れ,25日線大幅下方乖離",4
4980,デクセリアルズ株式会社,3136.0,-40.01530221882173,23.910482921083627,3914.48,2971.842598876953,"大幅下落,売られすぎ,25日線大幅下方乖離",3
8035,東京エレクトロン株式会社,52240.0,-35.712527688899826,24.21917808219179,68518.0,44832.10900390625,"大幅下落,売られすぎ,25日線大幅下方乖離",3
5803,株式会社フジクラ,3720.0,-53.10727341484937,28.92733564013841,5015.44,4125.8025415039065,"大幅下落,売られすぎ,25日線大幅下方乖離",3
7735,株式会社ＳＣＲＥＥＮホールディングス,11980.0,-39.403136064744565,23.16279069767441,16913.6,10267.643598632812,"大幅下落,売られすぎ,25日線大幅下方乖離",3
1961,三機工業株式会社,2226.0,-32.03053435114504,20.5607476635514,2652.96,2220.737291870117,"大幅下落,売られすぎ,25日線大幅下方乖離",3
5032,ＡＮＹＣＯＬＯＲ株式会社,2691.0,-59.80019298775844,80.79331941544885,2421.88,3957.230083007813,"大幅下落,長期線割れ",2
6920,レーザーテック株式会社,33620.0,-42.38138167614307,34.33333333333334,44762.93890625,35365.360283203125,"大幅下落,25日線大幅下方乖離",2
6590,芝浦メカトロニクス株式会社,3995.0,-36.78797468354431,32.57676902536716,5161.8,4438.788367919922,"大幅下落,25日線大幅下方乖離",2
1980,ダイダン株式会社,2398.0,-33.523372359457674,21.93732193732194,2723.56,2626.006814575195,"大幅下落,売られすぎ",2
1942,株式会社関電工,5488.0,-26.4343163538874,25.194228634850163,6296.8,5728.877196044922,"大幅下落,売られすぎ",2
6507,シンフォニアテクノロジー株式会社,12250.0,-27.514792899408285,31.31782945736434,14582.4,11935.618842773438,"大幅下落,25日線大幅下方乖離",2
6871,株式会社日本マイクロニクス,11930.0,-34.378437843784376,31.58333333333333,15550.8,10855.477868652344,"大幅下落,25日線大幅下方乖離",2
6383,株式会社ダイフク,5670.0,-27.47053355866219,24.51162790697674,6654.49267578125,5870.966044921875,"大幅下落,売られすぎ",2
4519,中外製薬株式会社,7071.0,-33.32392885302395,41.82746878547106,7320.9244921875,8044.717492675782,"大幅下落,長期線割れ",2
5706,三井金属株式会社,27095.0,-53.04159445407279,32.32367897413221,35270.4,29422.94092285156,"大幅下落,25日線大幅下方乖離",2
7906,ヨネックス株式会社,2671.0,-40.28210807915652,68.71508379888269,2485.52,3117.053701171875,"大幅下落,長期線割れ",2
1969,高砂熱学工業株式会社,4231.0,-25.229676182605164,28.39600920951649,4750.0,4570.878037109375,"大幅下落,売られすぎ",2
4107,伊勢化学工業株式会社,3420.0,-59.34118236854683,34.95145631067962,3795.527705078125,4564.453820800782,"大幅下落,長期線割れ",2
2726,株式会社パルグループホールディングス,1535.0,-46.634739975693385,57.09876543209876,1463.2,1674.6282049560548,大幅下落,1
6544,ジャパンエレベーターサービスホールディングス株式会社,1698.0,-18.87630033507156,23.31691297208539,1748.32,1715.3711822509763,売られすぎ,1
4716,日本オラクル株式会社,9159.0,-40.78385364813865,64.9802890932983,8574.16,9905.897995605468,大幅下落,1
3697,株式会社ＳＨＩＦＴ,914.5,-47.04690214244354,75.13787777027947,735.1280029296875,807.7409997558593,大幅下落,1
4194,ビジョナル株式会社,9000.0,-27.768860353130016,66.60907127429806,8266.2,8641.74,大幅下落,1
4626,太陽ホールディングス株式会社,4700.0,-25.099601593625497,30.496453900709213,4860.76,4828.7075,大幅下落,1
4021,日産化学株式会社,7311.0,-16.033076834730675,28.898854010961628,8056.88,6282.45013671875,売られすぎ,1
6368,オルガノ株式会社,13485.0,-33.06031273268801,39.24122310305776,15372.8,14794.498764648435,大幅下落,1
6814,古野電気株式会社,7050.0,-28.884167303385222,59.14285714285714,6718.8,7242.252661132812,大幅下落,1
8111,株式会社ゴールドウイン,2350.5,-25.555087769726786,61.34663341645886,2269.8,2420.315827636719,大幅下落,1
7014,株式会社名村造船所,4250.0,-29.281657131028133,65.21739130434783,3930.2,4228.366591796875,大幅下落,1
6417,株式会社三共,1915.0,-34.826586962487745,88.59784283513098,1678.7,2126.207349853516,大幅下落,1
5334,日本特殊陶業株式会社,8903.0,-20.96759875721261,26.597633136094657,10124.2,7889.964321289062,売られすぎ,1
