code,name,edinet_code,industry,roe,operating_margin,equity_ratio,market_cap
6857,株式会社アドバンテスト,E01950,電気機器,57.65,44.22,67.91,14879963.51
3923,株式会社ラクス,E31878,情報・通信業,55.37,28.77,71.17,263311.91
5032,ＡＮＹＣＯＬＯＲ株式会社,E37573,サービス業,55.23,37.97,75.38,226025.28
8136,株式会社サンリオ,E02655,卸売業,48.38,35.75,53.16,1754787.34
6920,レーザーテック株式会社,E01991,電気機器,46.87,48.85,63.68,1831911.87
3092,株式会社ＺＯＺＯ,E05725,小売業,46.64,30.37,53.86,984664.58
6532,株式会社ベイカレント,E32549,サービス業,35.79,34.34,74.32,700873.76
4716,日本オラクル株式会社,E05027,情報・通信業,34.17,32.95,51.73,2167474.8
6544,ジャパンエレベーターサービスホールディングス株式会社,E33034,サービス業,32.31,19.11,62.29,289893.79
6098,株式会社リクルートホールディングス,E07801,サービス業,31.05,17.05,56.77,9631481.77
9744,株式会社メイテックグループホールディングス,E04804,サービス業,30.86,14.46,54.29,255019.38
5803,株式会社フジクラ,E01334,非鉄金属,30.56,15.96,61.19,7259750.59
2371,株式会社カカクコム,E05350,サービス業,29.66,28.94,70.28,410726.16
8035,東京エレクトロン株式会社,E02652,電気機器,29.27,25.58,72.35,17427497.23
3064,株式会社ＭｏｎｏｔａＲＯ,E03497,小売業,28.55,13.83,63.62,1253322.78
2222,寿スピリッツ株式会社,E00387,食料品,28.53,23.61,79.7,284934.76
4980,デクセリアルズ株式会社,E31633,化学,27.29,33.47,66.24,369455.04
4194,ビジョナル株式会社,E36484,情報・通信業,26.55,26.75,71.02,476116.7
3110,日東紡績株式会社,E00542,ガラス・土石製品,26.42,17.61,63.73,705482.27
2127,株式会社日本Ｍ＆Ａセンターホールディングス,E05629,サービス業,25.42,37.33,76.47,212188.06
8919,株式会社カチタス,E33622,不動産業,25.25,12.04,56.9,245393.54
6146,株式会社ディスコ,E01506,機械,25.08,42.34,79.11,6643777.89
4519,中外製薬株式会社,E00932,医薬品,24.35,47.6,73.67,13842486.88
5706,三井金属株式会社,E00024,非鉄金属,23.96,17.26,60.35,1609472.58
3697,株式会社ＳＨＩＦＴ,E30969,情報・通信業,23.65,12.04,53.29,409250.26
2726,株式会社パルグループホールディングス,E03387,小売業,22.21,11.57,52.38,305869.4
1980,ダイダン株式会社,E00194,建設業,22.12,13.46,57.26,363080.62
9697,株式会社カプコン,E02417,情報・通信業,22.1,38.54,78.9,1787639.77
4626,太陽ホールディングス株式会社,E00913,化学,21.95,23.6,57.33,582767.03
6590,芝浦メカトロニクス株式会社,E01757,電気機器,21.71,17.34,55.11,275979.68
6368,オルガノ株式会社,E01571,機械,21.5,21.19,63.58,630041.3
6871,株式会社日本マイクロニクス,E02030,電気機器,20.85,23.57,66.7,281801.36
1961,三機工業株式会社,E00107,建設業,20.8,10.99,55.33,360803.55
6323,ローツェ株式会社,E02328,機械,20.71,25.74,68.56,288550.89
6814,古野電気株式会社,E01839,電気機器,20.61,11.55,63.5,253336.85
7735,株式会社ＳＣＲＥＥＮホールディングス,E02288,電気機器,20.28,20.23,67.37,1708063.26
9983,株式会社ファーストリテイリング,E03217,小売業,20.19,16.59,58.9,14821943.5
4021,日産化学株式会社,E00759,化学,20.07,22.73,72.96,808162.77
8111,株式会社ゴールドウイン,E00603,繊維製品,19.94,18.8,77.57,315232.75
4732,株式会社ユー・エス・エス,E05045,サービス業,19.77,52.56,78.1,784824.08
9766,コナミグループ株式会社,E01956,情報・通信業,19.12,27.53,75.4,2774965.4
1969,高砂熱学工業株式会社,E00149,建設業,18.77,11.26,56.32,602085.13
3635,株式会社コーエーテクモホールディングス,E22460,情報・通信業,18.54,42.05,86.89,540750.27
6383,株式会社ダイフク,E01551,機械,18.38,15.26,59.87,1871593.71
9759,株式会社ＮＳＤ,E04822,情報・通信業,18.19,16.19,76.76,235620.59
7014,株式会社名村造船所,E02129,輸送用機器,17.8,17.66,51.64,289457.93
5929,三和ホールディングス株式会社,E01385,金属製品,17.71,11.97,64.07,777074.63
6417,株式会社三共,E02419,機械,17.47,34.87,87.02,445055.75
4503,アステラス製薬株式会社,E00920,医薬品,17.45,17.89,51.28,4565662.31
4107,伊勢化学工業株式会社,E01028,化学,17.18,24.16,78.55,240847.36
4812,株式会社電通総研,E05147,情報・通信業,17.1,13.88,60.68,535386.95
7832,株式会社バンダイナムコホールディングス,E02481,その他製品,17.0,14.06,72.36,2497002.69
6507,シンフォニアテクノロジー株式会社,E01743,電気機器,16.2,14.4,62.31,309216.27
1942,株式会社関電工,E00074,建設業,16.15,11.2,63.83,1203251.61
7906,ヨネックス株式会社,E02427,その他製品,16.1,10.11,62.77,274496.18
6432,株式会社竹内製作所,E01723,機械,15.97,16.73,83.03,368796.66
4684,株式会社オービック,E05025,情報・通信業,15.83,65.69,83.39,1891279.49
6951,日本電子株式会社,E01905,電気機器,15.7,14.51,59.87,294701.02
5334,日本特殊陶業株式会社,E01136,ガラス・土石製品,15.66,18.89,62.85,1443442.34
6845,アズビル株式会社,E01879,電気機器,15.53,15.82,77.05,732927.3
4816,東映アニメーション株式会社,E02458,情報・通信業,15.46,33.11,84.56,544838.8
