current_price,high_52w,low_52w,drawdown_pct,ma_25,ma_200,rsi_14,volume_avg_25,code,name
2843.0,6694.0619868661115,2672.0,-57.52952384399749,2848.675830078125,4506.373486328125,54.088952654232415,882684.0,5032,ＡＮＹＣＯＬＯＲ株式会社
989.0,1543.224975314066,975.7999877929688,-35.91342702325525,1032.14,1231.4412530517577,39.473684210526315,5176356.0,3092,株式会社ＺＯＺＯ
839.9000244140625,1717.8722209248122,818.7999877929688,-51.10812002292554,904.74,1156.1989895629883,44.10796753926049,24243268.0,8136,株式会社サンリオ
40110.0,46720.0,13654.65348853392,-14.148116438356166,41832.0,29203.143002929686,40.40880503144655,3808440.0,6920,レーザーテック株式会社
965.0,1382.057732029965,715.2024676394905,-30.17657818225807,886.06,1043.057474975586,58.43869167128353,3406292.0,3923,株式会社ラクス
5445.0,8963.26663477891,3733.4596946022725,-39.25205818520976,5404.48,6435.327670898438,53.42465753424657,1813460.0,6532,株式会社ベイカレント
3340.0,3568.0,1546.4690067940182,-6.390134529147982,2976.94,2387.0176293945315,68.34842604570936,2527248.0,2371,株式会社カカクコム
26340.0,32400.0,7059.195888451494,-18.703703703703702,27806.8,20588.1648828125,34.22340898976414,9903804.0,6857,株式会社アドバンテスト
8517.0,17875.0,8275.0,-52.35244755244756,8927.12,12322.83,39.69495502542041,420104.0,4716,日本オラクル株式会社
2078.5,2330.2416628820306,1687.8906144222294,-10.803242723361056,2034.72,1869.7760571289064,61.81015452538631,546240.0,2222,寿スピリッツ株式会社
4029.0,4486.0,1855.4246838631288,-10.187249219794918,3166.76,2519.8969677734376,71.56975786526107,2817916.0,4980,デクセリアルズ株式会社
52320.0,54700.0,19490.131093906683,-4.3510054844606945,48870.4,34969.81005859375,49.555099247091036,3031616.0,8035,東京エレクトロン株式会社
1787.0,2130.123760605308,1531.8133011710088,-16.108160800375458,1709.82,1761.0123999023438,60.50903119868637,730084.0,6544,ジャパンエレベーターサービスホールディングス株式会社
1909.5,2976.8270296730443,1684.5,-35.8545195617319,1870.06,2154.559520263672,54.12844036697247,3446168.0,3064,株式会社ＭｏｎｏｔａＲＯ
66350.0,80542.21733906664,31622.177708820094,-17.620842594040145,70343.2,56432.78578125,34.011090573012936,2071216.0,6146,株式会社ディスコ
7559.0,12460.0,6280.0,-39.3338683788122,7527.84,9460.785,50.88137208194379,267132.0,4194,ビジョナル株式会社
3013.0,3601.088688380282,2915.354867227052,-16.33085822845412,3067.64,3217.6040673828124,41.34615384615385,406456.0,9744,株式会社メイテックグループホールディングス
11030.0,13155.0,4861.738634034187,-16.153553781832002,10889.8,8137.059748535156,46.085011185682326,2273860.0,7735,株式会社ＳＣＲＥＥＮホールディングス
7743.0,10700.0,5838.138484321139,-27.635514018691588,8094.64,7910.387138671875,46.288416075650126,3510180.0,4519,中外製薬株式会社
660.7999877929688,1827.5,590.0,-63.84131393745726,661.4880029296875,978.7989996337891,51.7358509600137,8954152.0,3697,株式会社ＳＨＩＦＴ
2129.5,3157.3682197776347,2082.5,-32.554588132581664,2190.54,2465.172536621094,43.49470499243571,492608.0,8111,株式会社ゴールドウイン
3090.0,4953.346907651631,2927.0,-37.61793676863709,3313.96,3677.9312719726563,33.51598173515981,2974604.0,9697,株式会社カプコン
5017.0,7933.0,1068.5000980189864,-36.75784696836001,5853.4,3492.6238580322265,38.18154357347833,68038880.0,5803,株式会社フジクラ
10185.0,10275.0,6028.418262645158,-0.8759124087591241,8371.32,7947.710517578125,82.21979820016362,7184060.0,6098,株式会社リクルートホールディングス
15915.0,20145.0,7306.210346115538,-20.997766195085628,16686.4,13813.165927734375,33.33333333333333,288216.0,6368,オルガノ株式会社
15230.0,17890.0,3499.18027707729,-14.868641699273338,14122.8,8606.452229003906,56.07287449392713,1128716.0,6871,株式会社日本マイクロニクス
